team1,team2,date,winner,winner_wickets,winner_runs
England,Australia,2013-08-01,NA,NA,NA
England,Australia,2013-08-09,England,NA,74
England,Australia,2013-08-21,NA,NA,NA
Zimbabwe,Pakistan,2013-09-03,Pakistan,NA,221
Zimbabwe,Pakistan,2013-09-10,Zimbabwe,NA,24
Bangladesh,New Zealand,2013-10-09,NA,NA,NA
Pakistan,South Africa,2013-10-14,Pakistan,7,NA
Bangladesh,New Zealand,2013-10-21,NA,NA,NA
Pakistan,South Africa,2013-10-23,South Africa,NA,92
India,West Indies,2013-11-06,India,NA,51
India,West Indies,2013-11-14,India,NA,126
Australia,England,2013-11-21,Australia,NA,381
New Zealand,West Indies,2013-12-03,NA,NA,NA
Australia,England,2013-12-05,Australia,NA,218
New Zealand,West Indies,2013-12-11,New Zealand,NA,73
Australia,England,2013-12-13,Australia,NA,150
South Africa,India,2013-12-18,NA,NA,NA
New Zealand,West Indies,2013-12-19,New Zealand,8,NA
Australia,England,2013-12-26,Australia,8,NA
South Africa,India,2013-12-26,South Africa,10,NA
Pakistan,Sri Lanka,2013-12-31,NA,NA,NA
Australia,England,2014-01-03,Australia,NA,281
Pakistan,Sri Lanka,2014-01-08,Sri Lanka,9,NA
Pakistan,Sri Lanka,2014-01-16,Pakistan,5,NA
Bangladesh,Sri Lanka,2014-01-27,Sri Lanka,NA,248
Bangladesh,Sri Lanka,2014-02-04,NA,NA,NA
New Zealand,India,2014-02-06,New Zealand,NA,40
South Africa,Australia,2014-02-12,Australia,NA,281
New Zealand,India,2014-02-14,NA,NA,NA
South Africa,Australia,2014-02-20,South Africa,NA,231
South Africa,Australia,2014-03-01,Australia,NA,245
West Indies,New Zealand,2014-06-08,New Zealand,NA,186
England,Sri Lanka,2014-06-12,NA,NA,NA
West Indies,New Zealand,2014-06-16,West Indies,10,NA
West Indies,New Zealand,2014-06-26,New Zealand,NA,53
England,India,2014-07-09,NA,NA,NA
Sri Lanka,South Africa,2014-07-16,South Africa,NA,153
England,India,2014-07-17,India,NA,95
Sri Lanka,South Africa,2014-07-24,NA,NA,NA
England,India,2014-07-27,England,NA,266
Sri Lanka,Pakistan,2014-08-06,Sri Lanka,7,NA
England,India,2014-08-07,England,NA,54
Zimbabwe,South Africa,2014-08-09,South Africa,9,NA
England,India,2014-08-15,England,NA,244
West Indies,Bangladesh,2014-09-05,West Indies,10,NA
West Indies,Bangladesh,2014-09-13,West Indies,NA,296
Australia,Pakistan,2014-10-22,Pakistan,NA,221
Bangladesh,Zimbabwe,2014-10-25,Bangladesh,3,NA
Australia,Pakistan,2014-10-30,Pakistan,NA,356
Bangladesh,Zimbabwe,2014-11-03,Bangladesh,NA,162
New Zealand,Pakistan,2014-11-09,Pakistan,NA,248
Bangladesh,Zimbabwe,2014-11-12,Bangladesh,NA,186
New Zealand,Pakistan,2014-11-17,NA,NA,NA
New Zealand,Pakistan,2014-11-26,New Zealand,NA,80
Australia,India,2014-12-09,Australia,NA,48
South Africa,West Indies,2014-12-17,South Africa,NA,220
Australia,India,2014-12-17,Australia,4,NA
New Zealand,Sri Lanka,2014-12-26,New Zealand,8,NA
Australia,India,2014-12-26,NA,NA,NA
South Africa,West Indies,2014-12-26,NA,NA,NA
South Africa,West Indies,2015-01-02,South Africa,8,NA
New Zealand,Sri Lanka,2015-01-03,New Zealand,NA,193
Australia,India,2015-01-06,NA,NA,NA
West Indies,England,2015-04-13,NA,NA,NA
West Indies,England,2015-04-21,England,9,NA
Bangladesh,Pakistan,2015-04-28,NA,NA,NA
West Indies,England,2015-05-01,West Indies,5,NA
Bangladesh,Pakistan,2015-05-06,Pakistan,NA,328
England,New Zealand,2015-05-21,England,NA,124
England,New Zealand,2015-05-29,New Zealand,NA,199
West Indies,Australia,2015-06-03,Australia,9,NA
Bangladesh,India,2015-06-10,NA,NA,NA
West Indies,Australia,2015-06-11,Australia,NA,277
Sri Lanka,Pakistan,2015-06-17,Pakistan,10,NA
Sri Lanka,Pakistan,2015-06-25,Sri Lanka,7,NA
Sri Lanka,Pakistan,2015-07-03,Pakistan,7,NA
England,Australia,2015-07-08,England,NA,169
England,Australia,2015-07-16,Australia,NA,405
Bangladesh,South Africa,2015-07-21,NA,NA,NA
England,Australia,2015-07-29,England,8,NA
Bangladesh,South Africa,2015-07-30,NA,NA,NA
England,Australia,2015-08-06,England,NA,78
Sri Lanka,India,2015-08-12,Sri Lanka,NA,63
England,Australia,2015-08-20,Australia,NA,46
Sri Lanka,India,2015-08-20,India,NA,278
Sri Lanka,India,2015-08-28,India,NA,117
Sri Lanka,West Indies,2015-10-22,Sri Lanka,NA,72
