team1,team2,date,winner,winner_wickets,winner_runs
Bangladesh,Sri Lanka,2006-03-08,Sri Lanka,10,NA
South Africa,Australia,2006-03-16,Australia,7,NA
Australia,South Africa,2006-03-24,Australia,NA,112
South Africa,Australia,2006-03-31,Australia,2,NA
South Africa,New Zealand,2006-04-15,South Africa,NA,128
New Zealand,South Africa,2006-04-27,NA,NA,NA
Sri Lanka,Pakistan,2006-04-03,Pakistan,8,NA
England,India,2006-03-01,NA,NA,NA
India,West Indies,2006-06-02,NA,NA,NA
India,West Indies,2006-06-10,NA,NA,NA
West Indies,India,2006-06-22,NA,NA,NA
India,West Indies,2006-06-30,India,NA,49
South Africa,Sri Lanka,2006-07-27,Sri Lanka,NA,153
South Africa,Sri Lanka,2006-08-04,Sri Lanka,1,NA
Australia,England,2006-11-23,Australia,NA,277
England,Australia,2006-12-01,Australia,6,NA
Australia,England,2006-12-14,Australia,NA,206
Sri Lanka,New Zealand,2006-12-07,New Zealand,5,NA
Sri Lanka,New Zealand,2006-12-15,Sri Lanka,NA,217
West Indies,Pakistan,2006-11-11,Pakistan,9,NA
Pakistan,West Indies,2006-11-19,NA,NA,NA
New Zealand,West Indies,2020-12-03,New Zealand,NA,134
New Zealand,West Indies,2020-12-11,New Zealand,NA,12
Zimbabwe,South Africa,2005-03-04,South Africa,NA,21
Zimbabwe,South Africa,2005-03-11,South Africa,NA,62
New Zealand,Australia,2005-03-10,Australia,9,NA
Australia,New Zealand,2005-03-18,NA,NA,NA
Sri Lanka,New Zealand,2005-04-11,New Zealand,NA,38
West Indies,South Africa,2005-04-21,South Africa,NA,86
Bangladesh,England,2005-06-03,England,NA,27
New Zealand,Zimbabwe,2005-08-07,New Zealand,NA,294
Bangladesh,Sri Lanka,2005-09-12,Sri Lanka,NA,96
Sri Lanka,Bangladesh,2005-09-20,Sri Lanka,NA,69
Zimbabwe,India,2005-09-13,India,NA,90
Australia,ICC World XI,2005-10-14,Australia,NA,210
West Indies,Australia,2005-11-17,Australia,9,NA
Pakistan,England,2005-11-12,Pakistan,NA,22
Pakistan,England,2005-11-20,NA,NA,NA
Sri Lanka,South Africa,2020-12-26,South Africa,NA,45
Australia,India,2020-12-26,India,8,NA
New Zealand,Pakistan,2020-12-26,New Zealand,NA,101
Sri Lanka,South Africa,2021-01-03,South Africa,10,NA
Pakistan,New Zealand,2021-01-03,New Zealand,NA,176
Australia,India,2021-01-07,NA,NA,NA
Australia,India,2021-01-15,India,3,NA
Sri Lanka,England,2021-01-22,England,6,NA
South Africa,Pakistan,2021-01-26,Pakistan,7,NA
Bangladesh,West Indies,2021-02-03,West Indies,3,NA
Pakistan,South Africa,2021-02-04,Pakistan,NA,95
England,India,2021-02-05,England,NA,227
West Indies,Bangladesh,2021-02-11,West Indies,NA,17
India,England,2021-02-13,India,NA,317
England,India,2021-02-24,India,10,NA
England,India,2021-03-04,India,NA,25
Australia,Sri Lanka,2004-03-08,Australia,NA,197
England,West Indies,2004-07-29,England,NA,256
England,West Indies,2004-08-19,England,10,NA
Australia,India,2004-10-14,NA,NA,NA
India,Australia,2004-11-03,India,NA,13
New Zealand,Bangladesh,2004-10-26,New Zealand,NA,101
New Zealand,Australia,2004-11-18,Australia,NA,156
Australia,New Zealand,2004-11-26,Australia,NA,213
South Africa,India,2004-11-20,NA,NA,NA
South Africa,India,2004-11-28,India,8,NA
Bangladesh,India,2004-12-10,India,NA,140
Bangladesh,West Indies,2018-07-04,West Indies,NA,219
Sri Lanka,West Indies,2021-03-21,NA,NA,NA
West Indies,Sri Lanka,2021-03-29,NA,NA,NA
Sri Lanka,Bangladesh,2021-04-21,NA,NA,NA
Zimbabwe,Pakistan,2021-04-29,Pakistan,NA,116
Sri Lanka,Bangladesh,2021-04-29,Sri Lanka,NA,209
Pakistan,Zimbabwe,2021-05-07,Pakistan,NA,147
England,New Zealand,2021-06-10,New Zealand,8,NA
West Indies,South Africa,2021-06-10,South Africa,NA,63
South Africa,West Indies,2021-06-18,South Africa,NA,158
Bangladesh,Zimbabwe,2021-07-07,Bangladesh,NA,220
India,England,2021-08-25,England,NA,76
Sri Lanka,West Indies,2021-11-21,Sri Lanka,NA,187
India,New Zealand,2021-11-25,NA,NA,NA
Bangladesh,Pakistan,2021-11-26,Pakistan,8,NA
West Indies,Pakistan,2017-05-10,Pakistan,NA,101
Sri Lanka,Pakistan,2017-10-06,Sri Lanka,NA,68
Zimbabwe,West Indies,2017-10-29,NA,NA,NA
Sri Lanka,South Africa,2018-07-12,Sri Lanka,NA,278
Pakistan,Australia,2018-10-16,Pakistan,NA,373
South Africa,England,2020-01-24,England,NA,191
Sri Lanka,New Zealand,2019-08-14,Sri Lanka,6,NA
India,New Zealand,2021-06-18,New Zealand,8,NA
South Africa,England,2010-01-03,NA,NA,NA
New Zealand,Pakistan,2009-11-24,New Zealand,NA,32
West Indies,Australia,2012-04-23,Australia,NA,75
Australia,Sri Lanka,2013-01-03,Australia,5,NA
Sri Lanka,Pakistan,2014-08-14,Sri Lanka,NA,105
New Zealand,Sri Lanka,2015-12-18,New Zealand,5,NA
England,Australia,2021-12-08,Australia,9,NA
England,Australia,2021-12-26,Australia,NA,14
India,South Africa,2021-12-26,India,NA,113
India,South Africa,2022-01-03,South Africa,7,NA
Australia,England,2022-01-05,NA,NA,NA
India,South Africa,2022-01-11,South Africa,7,NA
Sri Lanka,New Zealand,2018-12-15,NA,NA,NA
England,India,2021-08-04,NA,NA,NA
India,England,2021-08-12,India,NA,151
India,England,2021-09-02,India,NA,157
Sri Lanka,England,2021-01-14,England,7,NA
New Zealand,England,2021-06-02,NA,NA,NA
Australia,England,2021-12-16,Australia,NA,275
Australia,England,2022-01-14,Australia,NA,146
Pakistan,Bangladesh,2021-12-04,Pakistan,NA,8
India,New Zealand,2021-12-03,India,NA,372
Sri Lanka,West Indies,2021-11-29,Sri Lanka,NA,164
New Zealand,Bangladesh,2022-01-01,Bangladesh,8,NA
New Zealand,Bangladesh,2022-01-09,New Zealand,NA,117
South Africa,New Zealand,2022-02-17,New Zealand,NA,276
South Africa,New Zealand,2022-02-25,South Africa,NA,198
India,Sri Lanka,2022-03-04,India,NA,222
Pakistan,Australia,2022-03-04,NA,NA,NA
England,West Indies,2022-03-08,NA,NA,NA
India,Sri Lanka,2022-03-12,India,NA,238
Australia,Pakistan,2022-03-12,NA,NA,NA
England,West Indies,2022-03-16,NA,NA,NA
Australia,Pakistan,2022-03-21,Australia,NA,115
England,West Indies,2022-03-24,West Indies,10,NA
South Africa,Bangladesh,2022-03-31,South Africa,NA,220
South Africa,Bangladesh,2022-04-08,South Africa,NA,332
Sri Lanka,Bangladesh,2022-05-15,NA,NA,NA
Bangladesh,Sri Lanka,2022-05-23,Sri Lanka,10,NA
New Zealand,England,2022-06-02,England,5,NA
England,Sri Lanka,2003-12-18,Sri Lanka,NA,215
Australia,India,2003-12-04,NA,NA,NA
New Zealand,England,2022-06-10,England,5,NA
West Indies,Zimbabwe,2003-11-12,West Indies,NA,128
Bangladesh,England,2003-10-21,England,7,NA
Australia,West Indies,2003-05-09,West Indies,3,NA
Bangladesh,Australia,2003-07-18,Australia,NA,132
South Africa,England,2003-07-24,NA,NA,NA
England,South Africa,2003-08-14,England,NA,70
South Africa,England,2003-08-21,South Africa,NA,191
South Africa,England,2003-09-04,England,9,NA
New Zealand,India,2003-10-16,NA,NA,NA
Zimbabwe,Australia,2003-10-17,Australia,9,NA
South Africa,Pakistan,2003-10-24,NA,NA,NA
Bangladesh,West Indies,2022-06-16,West Indies,7,NA
South Africa,Zimbabwe,2017-12-26,South Africa,NA,120
Australia,Sri Lanka,2019-01-24,Australia,NA,40
England,Australia,2019-08-14,NA,NA,NA
New Zealand,West Indies,2006-03-09,New Zealand,NA,27
Bangladesh,West Indies,2011-10-21,NA,NA,NA
West Indies,England,2004-04-10,NA,NA,NA
New Zealand,South Africa,2004-03-26,South Africa,6,NA
New Zealand,England,2022-06-23,England,7,NA
Bangladesh,West Indies,2022-06-24,West Indies,10,NA
Sri Lanka,Australia,2022-06-29,Australia,10,NA
India,England,2022-07-01,England,7,NA
Zimbabwe,New Zealand,2005-08-15,New Zealand,NA,46
India,Sri Lanka,2005-12-18,India,NA,259
Bangladesh,Sri Lanka,2006-02-28,Sri Lanka,8,NA
Bangladesh,Australia,2006-04-09,Australia,3,NA
England,India,2006-03-09,India,9,NA
New Zealand,South Africa,2006-05-05,South Africa,4,NA
Australia,New Zealand,2008-11-20,Australia,NA,149
Australia,England,2002-12-26,Australia,5,NA
Australia,Zimbabwe,2003-10-09,Australia,NA,175
England,Bangladesh,2003-10-29,England,NA,329
South Africa,West Indies,2003-12-12,South Africa,NA,189
South Africa,New Zealand,2004-03-18,New Zealand,9,NA
South Africa,England,2005-01-02,South Africa,NA,196
New Zealand,Sri Lanka,2015-12-10,New Zealand,NA,122
Australia,Sri Lanka,2022-07-08,Sri Lanka,NA,39
England,South Africa,2022-08-17,South Africa,NA,12
South Africa,England,2022-08-25,England,NA,85
South Africa,England,2022-09-08,England,9,NA
Australia,West Indies,2022-11-30,Australia,NA,164
Australia,West Indies,2022-12-08,Australia,NA,419
South Africa,Australia,2022-12-17,Australia,6,NA
Pakistan,England,2022-12-17,England,8,NA
India,Bangladesh,2022-12-14,India,NA,188
Bangladesh,India,2022-12-22,India,3,NA
South Africa,Australia,2022-12-26,Australia,NA,182
Pakistan,New Zealand,2022-12-26,NA,NA,NA
New Zealand,Pakistan,2023-01-02,NA,NA,NA
Australia,South Africa,2023-01-04,NA,NA,NA
India,Australia,2004-01-02,NA,NA,NA
England,Australia,2003-01-02,England,NA,225
West Indies,Zimbabwe,2023-02-04,NA,NA,NA
Australia,India,2023-02-09,India,NA,132
Zimbabwe,West Indies,2023-02-12,West Indies,NA,4
England,New Zealand,2023-02-16,England,NA,267
Australia,India,2023-02-17,India,6,NA
England,New Zealand,2023-02-24,New Zealand,NA,1
South Africa,West Indies,2023-02-28,South Africa,NA,87
India,Australia,2023-03-01,Australia,9,NA
South Africa,West Indies,2023-03-08,South Africa,NA,284
Sri Lanka,New Zealand,2023-03-09,New Zealand,2,NA
Australia,India,2023-03-09,NA,NA,NA
New Zealand,Sri Lanka,2023-03-17,New Zealand,NA,58
Ireland,Bangladesh,2023-04-04,Bangladesh,7,NA
Sri Lanka,Ireland,2023-04-16,Sri Lanka,NA,280
Ireland,Sri Lanka,2023-04-24,Sri Lanka,NA,10
Ireland,England,2023-06-01,England,10,NA
Australia,India,2023-06-07,Australia,NA,209
England,Australia,2023-06-16,Australia,2,NA
India,Australia,2020-12-17,Australia,8,NA
Australia,England,2023-06-28,Australia,NA,43
Australia,England,2023-07-06,England,3,NA
West Indies,India,2023-07-12,India,NA,141
Sri Lanka,Pakistan,2023-07-16,Pakistan,4,NA
Australia,England,2023-07-19,NA,NA,NA
India,West Indies,2023-07-20,NA,NA,NA
Sri Lanka,Pakistan,2023-07-24,Pakistan,NA,222
England,Australia,2023-07-27,England,NA,49
Pakistan,West Indies,2021-08-12,West Indies,1,NA
Pakistan,West Indies,2021-08-20,Pakistan,NA,109
Sri Lanka,Pakistan,2022-07-16,Pakistan,4,NA
Sri Lanka,Pakistan,2022-07-24,Sri Lanka,NA,246
England,Pakistan,2022-12-01,England,NA,74
England,Pakistan,2022-12-09,England,NA,26
South Africa,Pakistan,2002-12-26,South Africa,10,NA
South Africa,Pakistan,2003-01-02,South Africa,NA,142
Bangladesh,Pakistan,2003-09-03,Pakistan,1,NA
South Africa,Pakistan,2003-10-17,Pakistan,8,NA
Pakistan,India,2004-04-13,India,NA,131
Australia,Pakistan,2004-12-16,Australia,NA,491
South Africa,West Indies,2005-04-29,NA,NA,NA
England,Pakistan,2006-08-04,England,NA,167
India,South Africa,2006-12-15,India,NA,123
Australia,India,2008-01-16,India,NA,72
England,Bangladesh,2010-05-27,England,8,NA
Bangladesh,India,2010-01-17,India,NA,113
India,Australia,2010-10-01,India,1,NA
Sri Lanka,West Indies,2010-11-15,NA,NA,NA
England,Sri Lanka,2014-06-20,Sri Lanka,NA,100
England,Pakistan,2015-10-13,NA,NA,NA
Sri Lanka,West Indies,2015-10-14,Sri Lanka,NA,6
Bangladesh,New Zealand,2023-11-28,Bangladesh,NA,150
Bangladesh,New Zealand,2023-12-06,New Zealand,4,NA
Australia,Pakistan,2023-12-14,Australia,NA,360
India,South Africa,2023-12-26,South Africa,NA,32
Australia,Pakistan,2023-12-26,Australia,NA,79
South Africa,India,2024-01-03,India,7,NA
Pakistan,Australia,2024-01-03,Australia,8,NA
West Indies,Australia,2024-01-17,Australia,10,NA
West Indies,Australia,2024-01-25,West Indies,NA,8
England,India,2024-01-25,England,NA,28
India,England,2024-02-02,India,NA,106
New Zealand,South Africa,2024-02-04,New Zealand,NA,281
South Africa,New Zealand,2024-02-13,New Zealand,7,NA
India,England,2024-02-15,India,NA,434
England,India,2024-02-23,India,5,NA
Australia,New Zealand,2024-02-29,Australia,NA,172
England,India,2024-03-07,India,NA,64
New Zealand,Australia,2024-03-08,Australia,3,NA
Sri Lanka,Bangladesh,2024-03-22,Sri Lanka,NA,328
Sri Lanka,Bangladesh,2024-03-30,Sri Lanka,NA,192
West Indies,England,2024-07-10,England,NA,114
England,West Indies,2024-07-18,England,NA,241
West Indies,England,2024-07-26,England,10,NA
Zimbabwe,Ireland,2024-07-25,Ireland,4,NA
England,India,2001-12-19,NA,NA,NA
South Africa,West Indies,2024-08-07,NA,NA,NA
South Africa,West Indies,2024-08-15,South Africa,NA,40
Sri Lanka,England,2024-08-21,England,5,NA
Pakistan,Bangladesh,2024-08-21,Bangladesh,10,NA
England,Sri Lanka,2024-08-29,England,NA,190
Pakistan,Bangladesh,2024-08-30,Bangladesh,6,NA
England,Sri Lanka,2024-09-06,Sri Lanka,8,NA
India,Bangladesh,2024-09-19,India,NA,280
Sri Lanka,New Zealand,2024-09-18,Sri Lanka,NA,63
Bangladesh,India,2024-09-27,India,7,NA
India,New Zealand,2024-10-16,New Zealand,8,NA
New Zealand,India,2024-11-01,New Zealand,NA,25
Pakistan,England,2024-10-07,England,NA,47
Pakistan,England,2024-10-15,Pakistan,NA,152
Sri Lanka,New Zealand,2024-09-26,Sri Lanka,NA,154
Bangladesh,South Africa,2024-10-21,South Africa,7,NA
South Africa,Bangladesh,2024-10-29,South Africa,NA,273
New Zealand,India,2024-10-24,New Zealand,NA,113
England,Pakistan,2024-10-24,Pakistan,9,NA
