player,country,start,end,matches,bat_innings,bowl_innings,field_innings,not_outs,runs,high_score,high_score_not_out,average,balls_faced,strike_rate,hundreds,fifties,ducks,fours,sixes,overs,maidens,wickets,economy,best_bowling_innings,four_wickets,five_wickets,ten_wickets,dismissals,caught,caught_fielder,caught_behind,stumped,max_dismissals_innings
SR Patel,England,2008,2015,36,55,57,66,2,3264,67,FALSE,37.40277777777778,173,76.01671407162738,0,1,4,17,5,42,0,38,5.367218712206076,5/41,0,1,0,13,13,13,0,0,4
SR Patil,India,1955,1955,1,1,2,2,1,65,14,TRUE,Inf,0,69,0,0,0,0,0,0,0,2,2.217391304347826,1/15,0,0,0,1,1,1,0,0,1
SR Rocket,SEY,2021,2024,15,8,14,14,1,334,5,FALSE,17.085714285714285,44,33.054545454545455,0,0,2,2,0,42,1,10,7.523809523809524,2/23,0,0,0,0,0,0,0,0,0
SR Taylor,United States of America,2019,2024,49,71,62,79,3,3467,101,TRUE,30.118560606060605,603,68.99188527061662,1,4,2,89,35,43,2,51,5.150042203917687,4/23,1,0,0,30,30,30,0,0,4
SR Tendulkar,India,1989,2013,463,600,416,823,33,32135,248,TRUE,37.75297046764438,12,62.929857582031495,51,68,14,2,0,2.3,0,201,4.476489825751648,5/32,4,2,0,256,256,256,0,0,8
SR Thompson,Ireland,2013,2019,20,52,52,64,8,2246,56,FALSE,28.813243546576878,254,71.22980460775736,0,2,2,23,14,79,0,40,5.575256760968688,4/18,1,0,0,31,31,31,0,0,4
SR Waters,Kenya,2008,2011,20,1,1,20,0,28,NA,FALSE,Inf,0,Inf,0,0,0,0,0,0,0,0,4.666666666666667,NA,0,0,0,5,5,5,0,0,2
SR Watson,Australia,2002,2016,190,328,305,360,9,19590,176,TRUE,31.361868074273733,1006,75.84201589405367,5,34,9,115,83,155,2,291,5.124404720028174,6/33,4,3,0,129,129,129,0,0,7
SR Waugh,Australia,1985,2004,325,467,357,642,46,27894,200,FALSE,40.59708868606675,0,55.3746237458194,32,50,22,0,0,0,0,287,3.607501404658165,5/28,3,3,0,223,223,223,0,0,6
SR Welsh,Canada,2006,2008,3,3,4,4,0,300,NA,FALSE,Inf,0,Inf,0,0,0,0,0,3,0,2,4.675,2/6,0,0,0,3,3,3,0,0,3
SRD Wettimuny,Sri Lanka,1975,1979,3,0,0,3,0,0,NA,FALSE,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0
SRMJJ Arachchilage,CYP,2022,2022,4,3,3,4,2,39,6,FALSE,Inf,12,Inf,0,0,0,0,0,5,0,0,6.6,NA,0,0,0,1,1,1,0,0,1
SS Cottrell,West Indies,2013,2023,38,50,82,82,6,4839,5,TRUE,29.15705128205128,29,52.702475685234305,0,0,2,2,0,153,4,106,6.08755621961286,5/46,3,1,0,38,38,38,0,0,5
SS Das,India,2000,2002,4,40,2,47,2,1361,110,FALSE,Inf,0,Inf,2,9,3,0,0,0,0,0,3.1818181818181817,NA,0,0,0,34,34,34,0,0,3
SS Dighe,India,2000,2001,23,10,0,34,1,141,47,FALSE,15.666666666666666,0,NA,0,0,1,0,0,0,0,0,NA,NA,0,0,0,38,31,0,31,7,7
SS Iyer,India,2017,2024,62,76,7,136,13,1997,105,TRUE,Inf,811,Inf,1,13,6,90,44,0.2,0,0,4.774774774774775,NA,0,0,0,55,55,55,0,0,6
SS Kang,United Arab Emirates,2024,2024,3,0,3,3,0,43,NA,FALSE,14.333333333333334,0,20,0,0,0,0,0,10,1,3,4.3,2/20,0,0,0,1,1,1,0,0,1
SS Karim,India,1997,2000,34,1,0,36,0,15,15,FALSE,15,0,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,0,31,28,0,28,3,5
SS McKechnie,Hong Kong,2017,2023,8,25,0,38,9,275,44,FALSE,17.1875,280,98.21428571428572,0,0,2,20,3,0,0,0,NA,NA,0,0,0,32,22,1,21,10,7
SS Naik,India,1974,1975,2,6,0,6,0,141,77,FALSE,23.5,0,NA,0,1,1,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0
SS Pathirana,Sri Lanka,2015,2017,18,23,23,23,0,1586,14,FALSE,29.766666666666666,24,66.16666666666667,0,0,0,3,0,15.5,0,20,6.581424148606811,3/37,0,0,0,4,4,4,0,0,2
SS Raul,India,1998,1998,2,2,2,2,0,54,NA,FALSE,27,0,36,0,0,0,0,0,0,0,1,4.5,1/13,0,0,0,0,0,0,0,0,0
SS Schultz,England,1879,1879,1,2,2,2,1,46,20,FALSE,23,0,34,0,0,0,0,0,0,0,1,4.588235294117647,1/16,0,0,0,0,0,0,0,0,0
SS Tiwary,India,2010,2010,3,0,0,3,0,0,NA,FALSE,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,0,2,2,2,0,0,1
SSB Magala,South Africa,2021,2023,8,10,13,14,2,1022,18,TRUE,30.31111111111111,18,77.6962962962963,0,0,0,1,4,20,0,21,8.992105263157896,5/43,0,1,0,3,3,3,0,0,2
