Player,Country,Start,End,Matches,Innings,NotOuts,Runs,HighScore,HighScoreNotOut,Average,BallsFaced,StrikeRate,Hundreds,Fifties,Ducks,Fours,Sixes
S Bau ,Papau New Guinea,2016,2024,56,48,7,958,65,TRUE,23.365853658536587,876,109.36073059360731,0,4,6,74,31
JDS Neesham ,New Zealand,2012,2024,79,63,21,944,48,TRUE,22.476190476190474,611,154.50081833060557,0,0,6,72,51
SO Hetmyer ,West Indies,2018,2024,62,52,5,942,81,TRUE,20.04255319148936,795,118.49056603773585,0,5,4,63,47
JJ Smit ,Namibia,2019,2024,55,48,20,939,71,FALSE,33.535714285714285,656,143.140243902439,0,3,2,56,58
Usman Patel ,KUW,2020,2024,50,47,11,937,111,TRUE,26.02777777777778,720,130.13888888888889,1,6,5,90,33
Zeeshan Khan ,MLT,2020,2024,43,42,1,937,115,FALSE,22.853658536585368,777,120.59202059202059,1,3,3,106,24
BRM Taylor ,Zimbabwe,2006,2021,45,45,6,934,75,TRUE,23.94871794871795,790,118.22784810126583,0,6,5,93,24
G Gambhir ,India,2007,2012,37,36,2,932,75,FALSE,27.41176470588235,783,119.02937420178799,0,7,2,109,10
Kushal Malla ,NEP,2019,2024,47,43,10,917,137,TRUE,27.78787878787879,621,147.66505636070852,1,4,3,50,66
SJ Myburgh ,NED,2012,2022,45,44,2,915,71,TRUE,21.785714285714285,799,114.51814768460575,0,5,8,100,28
S Muniandy ,MAS,2019,2024,85,70,18,901,60,TRUE,17.326923076923077,775,116.25806451612904,0,1,5,65,31
DM Nakrani ,UGA,2019,2024,62,52,18,899,77,TRUE,26.441176470588236,704,127.69886363636364,0,3,3,59,57
C Campher ,Ireland,2021,2024,58,51,8,898,72,TRUE,20.88372093023256,712,126.12359550561798,0,3,5,74,28
Gulbadin Naib ,Afghanistan,2012,2024,73,62,17,897,57,FALSE,19.933333333333334,732,122.54098360655739,0,3,7,67,44
Sohail Ahmed ,BHR,2022,2024,33,32,11,894,80,TRUE,42.57142857142857,749,119.35914552736983,0,7,4,62,34
E Chigumbura ,Zimbabwe,2006,2020,57,56,9,893,54,TRUE,19,635,140.62992125984252,0,3,6,61,53
JE Root ,England,2012,2019,32,30,5,893,90,TRUE,35.72,707,126.3083451202263,0,5,2,92,16
Muhammad Usman ,United Arab Emirates,2016,2022,47,43,6,891,89,TRUE,24.08108108108108,778,114.52442159383034,0,3,3,73,27
G Malla ,NEP,2014,2022,45,39,1,883,107,FALSE,23.236842105263158,734,120.29972752043597,1,2,1,76,36
N Davin ,Namibia,2019,2024,34,34,2,881,89,FALSE,27.53125,634,138.9589905362776,0,5,1,95,32
LS Livingstone ,England,2017,2024,55,42,9,881,103,FALSE,26.696969696969695,583,151.11492281303603,1,2,2,50,54
Manpreet Singh ,SGP,2019,2024,40,38,3,878,71,FALSE,25.085714285714285,687,127.80203784570597,0,5,3,48,37
TC Barker ,LUX,2019,2024,40,40,1,874,78,FALSE,22.41025641025641,724,120.71823204419888,0,4,5,90,19
Saber Zakhil ,Belg,2019,2024,43,39,8,873,100,TRUE,28.161290322580644,539,161.96660482374767,1,2,3,46,71
NA Greenwood ,JER,2019,2024,31,31,3,865,86,TRUE,30.892857142857142,599,144.40734557595994,0,4,2,91,25
A Johnson ,Canada,2022,2024,25,25,2,862,121,TRUE,37.47826086956522,568,151.7605633802817,2,6,3,82,56
DM de Silva ,Sri Lanka,2015,2024,45,44,4,847,66,TRUE,21.175,731,115.86867305061558,0,3,2,71,18
SD Hope ,West Indies,2017,2024,39,37,5,847,82,TRUE,26.46875,612,138.3986928104575,0,5,3,69,44
O Manishimwe ,RWN,2022,2024,65,57,7,845,79,TRUE,16.9,929,90.95801937567278,0,5,8,85,11
KH Prajapati ,OMA,2021,2024,47,46,5,843,74,TRUE,20.5609756097561,780,108.07692307692307,0,6,5,83,26
KS Leverock ,BER,2019,2023,29,29,4,842,103,FALSE,33.68,566,148.76325088339223,1,4,4,70,48
Kamran Khan ,QAT,2019,2024,36,34,1,841,88,FALSE,25.484848484848484,618,136.084142394822,0,5,1,75,49
HL Carlyon ,JER,2019,2024,39,38,1,839,110,FALSE,22.675675675675677,689,121.77068214804063,1,3,3,92,25
Imran Anwar ,BHR,2019,2024,60,46,5,828,87,FALSE,20.195121951219512,620,133.54838709677418,0,5,7,49,60
MWR Stokes ,GUE,2019,2024,38,35,11,828,67,TRUE,34.5,699,118.45493562231759,0,3,1,68,19
B Arora ,MLT,2019,2024,56,51,9,826,66,TRUE,19.666666666666668,911,90.66959385290889,0,3,2,74,20
H Lakov ,BUL,2019,2022,35,34,8,825,80,FALSE,31.73076923076923,784,105.2295918367347,0,6,0,67,6
K Nassoro ,TAN,2021,2024,65,55,11,824,60,FALSE,18.727272727272727,845,97.51479289940829,0,2,3,77,12
