Player,Country,Start,End,Matches,Innings,Overs,Maidens,Runs,Wickets,Average,Economy,StrikeRate,BestBowlingInnings,FourWickets,FiveWickets,TenWickets
Cs Dempster,New Zealand,1930,1933,10,1,0,0,10,0,Inf,12,Inf,NA,0,0,0
Cs Macleod,Scotland,2008,2022,152,56,30,0,1056,16,60,6.257575757575758,62,2/26,0,0,0
Cs Marriott,England,1933,1933,1,2,0,0,96,11,8.727272727272727,2.3319838056680164,22.454545454545453,6/59,0,2,1
Cs Martin,New Zealand,2000,2013,97,151,23,1,8875,258,35.349751345459495,5.616646345101739,44.19279242455208,6/26,0,10,1
Cs Nayudu,India,1934,1952,11,12,0,0,359,2,179.5,4.126436781609195,261,1/19,0,0,0
Cs Pandit,India,1986,1992,41,0,0,0,0,0,NA,NA,NA,NA,0,0,0
Cs Serjeant,Australia,1977,1978,15,0,0,0,0,0,NA,NA,NA,NA,0,0,0
Cs Wimble,South Africa,1892,1892,1,0,0,0,0,0,NA,NA,NA,NA,0,0,0
Ct Bancroft,Australia,2016,2019,11,0,0,0,0,0,NA,NA,NA,NA,0,0,0
Ct Mumba,Zimbabwe,2016,2023,19,22,21,0,870,20,48.43492063492064,6.594901789318955,46.91904761904762,4/50,0,0,0
Ct Mutombodzi,Zimbabwe,2013,2020,30,22,26,0,614,14,Inf,5.52100497979346,Inf,2/33,0,0,0
Ct Patankar,India,1955,1956,1,0,0,0,0,0,NA,NA,NA,NA,0,0,0
Ct Radley,England,1978,1978,12,0,0,0,0,0,NA,NA,NA,NA,0,0,0
Ct Sarwate,India,1946,1951,9,10,0,0,374,3,124.66666666666667,3.410334346504559,219.33333333333334,1/16,0,0,0
Ct Studd,England,1882,1883,5,7,0,0,98,3,32.666666666666664,1.53125,128,2/35,0,0,0
Ct Tremlett,England,2005,2013,28,39,4,0,2181,70,32.166666666666664,6.53468579023615,39.67379454926625,6/48,1,2,0
Ctb Turner,Australia,1887,1895,17,30,0,0,1670,101,16.534653465346533,1.9347364356053294,51.277227722772274,7/43,0,11,2
Cu Jayasinghe,Sri Lanka,2009,2010,5,0,0,0,0,0,NA,NA,NA,NA,0,0,0
Cv Anto,KUW,2023,2024,27,0,0,0,0,0,NA,NA,NA,NA,0,0,0
Cv Gadkari,India,1953,1955,6,3,0,0,45,0,Inf,2.6470588235294117,Inf,NA,0,0,0
Cv Grimmett,Australia,1925,1936,37,67,0,0,5231,216,24.21759259259259,2.1626128298766623,67.18981481481481,7/40,0,21,7
Cv Harrison,GIBR,2021,2021,7,7,19.4,0,188,6,31.333333333333332,9.559322033898306,19.666666666666664,2/31,0,0,0
Cv Varun,India,2021,2024,13,13,50.3,0,343,19,18.05263157894737,6.792079207920792,15.947368421052632,5/17,0,1,0
Cv Wight,West Indies,1928,1930,2,1,0,0,6,0,Inf,1.2,Inf,NA,0,0,0
Cw Henderson,South Africa,2001,2002,11,16,0,0,1060,29,30.519480519480517,3.2438450372750465,60.09090909090909,4/17,1,0,0
Cw Perchard,JER,2019,2024,52,50,161,1,1203,80,18.56259780907668,5.4011732229123535,21.802816901408452,5/17,2,1,0
Cw Smith,West Indies,1960,1962,5,0,0,0,0,0,NA,NA,NA,NA,0,0,0
Cw Wright,England,1896,1896,3,0,0,0,0,0,NA,NA,NA,NA,0,0,0
Cwj Athey,England,1980,1988,54,1,0,0,10,0,Inf,10,Inf,NA,0,0,0
Cwl Parker,England,1921,1921,1,1,0,0,32,2,16,1.1428571428571428,84,2/32,0,0,0
Cz Harris,New Zealand,1990,2004,273,261,0,0,8783,219,55.313731527093594,3.512183090958095,106.27339901477832,5/42,2,1,0
D Ahir,PAN,2021,2021,5,5,15,0,110,4,27.5,7.333333333333333,22.5,2/21,0,0,0
D Ajekun,NGA,2019,2024,29,7,12.1,0,86,4,21.5,7.068493150684932,18.25,1/5,0,0,0
D Bau,Papau New Guinea,2016,2022,15,0,0,0,0,0,NA,NA,NA,NA,0,0,0
D Berthe,Mali,2024,2024,2,0,0,0,0,0,NA,NA,NA,NA,0,0,0
