Player,Country,Start,End,Matches,Innings,NotOuts,Runs,HighScore,HighScoreNotOut,Average,BallsFaced,StrikeRate,Hundreds,Fifties,Ducks,Fours,Sixes
A Kalasi ,THA,2023,2024,11,6,4,14,8,TRUE,7,16,87.5,0,0,2,0,1
A Kansonkho ,MWest Indies,2021,2023,7,3,1,22,20,TRUE,11,19,115.78947368421053,0,0,1,2,1
A Kapoor ,Canada,2022,2022,2,1,1,9,9,TRUE,Inf,4,225,0,0,0,1,0
A Karn ,NEP,2015,2015,2,1,0,4,4,FALSE,4,7,57.14285714285714,0,0,0,0,0
A Karvelas ,GRC,2022,2022,1,1,0,10,10,FALSE,10,20,50,0,0,0,1,0
A Kaul ,SGP,2022,2024,11,9,1,107,56,FALSE,13.375,122,87.70491803278688,0,1,2,10,3
A Khan ,England,2009,2022,10,7,0,49,16,FALSE,7,54,90.74074074074075,0,0,0,2,1
A Kheterpal ,HUN,2021,2023,18,18,7,309,42,FALSE,28.09090909090909,258,119.76744186046511,0,0,2,34,7
A Kirschbaum ,Arg,2021,2024,15,14,2,100,22,FALSE,8.333333333333334,130,76.92307692307693,0,0,2,8,2
A Krishna ,SGP,2019,2023,18,11,7,37,21,TRUE,9.25,48,77.08333333333334,0,0,3,4,0
A Kumble ,India,1990,2008,132,173,32,2506,110,TRUE,17.77304964539007,0,NA,1,5,17,0,0
A Kumble (Asia/IND),NA,1990,2007,271,265,0,10412,NA,FALSE,30.89614243323442,0,43.01483679525222,0,0,0,0,0
A Kuruvilla,India,1997,1997,25,25,0,890,NA,FALSE,35.6,0,45.24,0,0,0,0,0
A Kuruvilla ,India,1997,1997,10,11,1,66,35,TRUE,6.6,0,NA,0,0,5,0,0
A Lagos ,GRC,2019,2019,1,1,1,1,1,TRUE,Inf,4,25,0,0,0,0,0
A Langham ,STHEL,2022,2022,7,5,0,58,39,FALSE,11.6,51,113.72549019607843,0,0,1,4,2
A Lark ,Aut,2019,2019,5,4,0,110,43,FALSE,27.5,121,90.9090909090909,0,0,1,15,0
A Limdawala ,MWest Indies,2022,2024,33,21,5,297,54,TRUE,18.5625,346,85.83815028901735,0,1,1,16,3
A Lyth ,England,2015,2015,7,13,0,265,107,FALSE,20.384615384615383,0,NA,1,0,1,0,0
A Magdalenic ,CRT,2023,2024,9,8,1,16,7,TRUE,2.2857142857142856,54,29.629629629629626,0,0,4,1,0
A Maheshwari ,CRT,2022,2024,12,10,0,40,16,FALSE,4,65,61.53846153846154,0,0,3,3,2
A Makesh ,KUW,2019,2019,4,2,1,57,57,FALSE,57,41,139.02439024390242,0,1,0,3,4
A Manatos ,GRC,2021,2021,1,0,0,0,NA,FALSE,NA,0,NA,0,0,0,0,0
A Manepalli ,LUX,2020,2024,8,7,1,54,22,FALSE,9,58,93.10344827586206,0,0,0,3,1
A Manousis ,GRC,2019,2022,11,11,2,118,27,FALSE,13.11111111111111,101,116.83168316831683,0,0,4,14,4
A Mansale ,VAN,2019,2024,34,33,4,699,82,FALSE,24.103448275862068,586,119.28327645051195,0,5,5,46,26
A Maregwede,Zimbabwe,2003,2005,11,0,0,0,NA,FALSE,NA,0,NA,0,0,0,0,0
A Maregwede ,Zimbabwe,2004,2004,2,4,0,74,28,FALSE,18.5,0,NA,0,0,1,0,0
A Martel ,GUE,2022,2024,18,10,3,93,23,TRUE,13.285714285714286,78,119.23076923076923,0,0,1,11,4
A Martin,West Indies,2011,2011,9,9,0,296,NA,FALSE,26.90909090909091,0,40.36363636363637,0,0,0,0,0
A Martin ,West Indies,2011,2011,1,0,0,0,NA,FALSE,NA,0,NA,0,0,0,0,0
A McAuley ,IOM,2020,2024,23,22,1,395,50,FALSE,18.80952380952381,433,91.22401847575058,0,1,2,32,2
A McGrath,England,2003,2004,14,7,0,175,NA,FALSE,43.75,0,57,0,0,0,0,0
A McGrath ,England,2003,2003,4,5,0,201,81,FALSE,40.2,0,NA,0,2,0,0,0
A Mehmood ,Hong Kong,2016,2024,7,2,2,14,14,TRUE,Inf,5,280,0,0,0,1,1
A Melville ,South Africa,1938,1949,11,19,2,894,189,FALSE,52.588235294117645,0,NA,4,3,2,0,0
A Mene-Ejegi ,SRB,2022,2024,13,10,1,107,32,TRUE,11.88888888888889,69,155.07246376811594,0,0,2,10,6
A Mishra,India,2003,2016,36,34,0,1511,NA,FALSE,23.609375,0,29.953125,0,0,0,0,0
A Mishra ,India,2008,2017,32,33,2,648,84,FALSE,10.8,0,NA,0,4,5,0,0
A Mitchell ,England,1933,1936,6,10,0,298,72,FALSE,29.8,0,NA,0,2,1,0,0
A Mithun,India,2010,2011,5,5,0,203,NA,FALSE,67.66666666666667,0,60,0,0,0,0,0
A Mithun ,India,2010,2011,4,5,0,120,46,FALSE,24,0,NA,0,0,1,0,0
A Modi ,SGP,2022,2022,7,6,1,48,24,FALSE,9.6,78,61.53846153846154,0,0,1,1,0
A Mongar ,BHU,2023,2023,2,1,0,4,4,FALSE,4,6,66.66666666666666,0,0,0,0,0
A Morris ,CAY,2019,2023,12,7,4,5,3,TRUE,1.6666666666666667,24,20.833333333333336,0,0,2,0,0
A Mucyodusenge ,RWN,2022,2022,1,1,0,1,1,FALSE,1,10,10,0,0,0,0,0
A Mukund ,India,2011,2017,7,14,0,320,81,FALSE,22.857142857142858,0,NA,0,2,3,0,0
A Mundra ,SWE,2024,2024,4,4,1,153,56,TRUE,51,93,164.51612903225808,0,1,0,15,10
A Mustafa ,Arg,2021,2023,2,0,0,0,NA,FALSE,NA,0,NA,0,0,0,0,0
A Mutreja ,SGP,2022,2024,13,11,0,166,77,FALSE,15.090909090909092,138,120.28985507246377,0,1,3,10,8
A Nagarajan ,QAT,2024,2024,1,1,1,0,0,TRUE,NA,0,NA,0,0,0,0,0
A Nanda ,LUX,2019,2024,31,14,4,59,21,TRUE,5.9,70,84.28571428571429,0,0,2,3,2
A Nao,Papau New Guinea,2017,2023,26,26,0,972,NA,FALSE,38.88,0,45.92,0,0,0,0,0
A Nao ,Papau New Guinea,2017,2024,18,10,5,76,30,TRUE,15.2,67,113.43283582089552,0,0,2,6,3
A Nathwani ,Aut,2019,2023,29,11,8,27,7,TRUE,9,47,57.446808510638306,0,0,2,1,0
A Natubhai Ahir ,PAN,2019,2023,16,16,0,209,51,FALSE,13.0625,210,99.52380952380952,0,1,3,19,9
A Ndlovu,Zimbabwe,2019,2019,2,2,0,80,NA,FALSE,80,0,102,0,0,0,0,0
A Ndlovu ,Zimbabwe,2019,2024,14,9,3,42,13,TRUE,9.375,41,80.48780487804879,0,0,2,4,0
A Nehra ,India,1999,2017,44,30,11,105,22,FALSE,5.55,39,71.7948717948718,0,0,13,1,2
A Nehra (Asia/IND),NA,2001,2011,120,120,0,4981,NA,FALSE,31.726114649681527,0,36.63057324840764,0,0,0,0,0
A Neill,Scotland,2019,2023,9,9,0,342,NA,FALSE,24.428571428571427,0,30.785714285714285,0,0,0,0,0
A Neill ,Scotland,2019,2019,5,0,0,0,NA,FALSE,NA,0,NA,0,0,0,0,0
A Nel,South Africa,2001,2008,79,76,0,2935,NA,FALSE,27.68867924528302,0,35.85849056603774,0,0,0,0,0
A Nel ,South Africa,2001,2008,38,43,9,337,34,TRUE,9.911764705882353,2,0,0,0,11,0,0
A Nimaga ,Mali,2024,2024,3,3,1,11,7,FALSE,5.5,13,84.61538461538461,0,0,0,1,0
A Nortje,South Africa,2019,2023,22,21,0,982,NA,FALSE,27.27777777777778,0,27.944444444444443,0,0,0,0,0
A Nortje ,South Africa,2019,2024,61,45,15,204,40,TRUE,5.3125,35,48.57142857142857,0,0,10,1,0
A Orfila ,GIBR,2019,2021,5,3,1,6,4,TRUE,3,13,46.15384615384615,0,0,1,0,0
A Osei ,GHA,2022,2024,17,14,0,222,72,FALSE,15.857142857142858,270,82.22222222222221,0,1,1,18,1
A Otwani ,UGA,2019,2022,17,16,0,202,44,FALSE,12.625,198,102.020202020202,0,0,4,25,3
A Parima ,COK,2022,2024,12,11,2,219,57,FALSE,24.333333333333332,175,125.14285714285714,0,1,0,20,10
A Patel,Canada,2003,2003,2,2,0,73,NA,FALSE,24.333333333333332,0,20,0,0,0,0,0
A Patel ,MWest Indies,2019,2019,2,2,1,12,6,TRUE,12,23,52.17391304347826,0,0,0,2,0
A Paul ,EST,2022,2024,13,4,2,20,14,TRUE,10,24,83.33333333333334,0,0,1,1,0
A Phillip,West Indies,2021,2022,5,5,0,207,NA,FALSE,51.75,0,48.75,0,0,0,0,0
A Phillip ,West Indies,2022,2022,2,3,1,53,43,FALSE,26.5,0,NA,0,0,0,0,0
A Poulose ,OMA,2017,2017,3,3,0,9,9,FALSE,3,14,64.28571428571429,0,0,2,2,0
A Prashar ,HUN,2023,2023,5,4,0,58,20,FALSE,14.5,42,138.0952380952381,0,0,0,3,3
A Pusthay ,FIN,2019,2022,12,12,0,166,56,FALSE,13.833333333333334,176,94.31818181818183,0,1,1,13,1
A Rajshekara ,ROM,2024,2024,8,7,2,106,50,FALSE,21.2,110,96.36363636363636,0,1,1,9,4
A Ranatunga,Sri Lanka,1982,1999,269,135,0,3757,NA,FALSE,47.55696202531646,0,59.620253164556964,0,0,0,0,0
A Ranatunga ,Sri Lanka,1982,2000,93,155,12,5105,135,TRUE,35.6993006993007,0,NA,4,38,12,0,0
A Randhawa ,Aut,2022,2024,21,18,2,268,78,TRUE,16.75,320,83.75,0,1,0,18,5
A Rangaswamy ,BOT,2019,2021,8,5,1,13,7,FALSE,3.25,16,81.25,0,0,2,0,1
A Ratra,India,2002,2002,12,0,0,0,NA,FALSE,NA,0,NA,0,0,0,0,0
A Ratra ,India,2002,2002,6,10,1,163,115,TRUE,18.11111111111111,0,NA,1,0,1,0,0
A Reyes ,GIBR,2021,2024,24,15,3,145,44,FALSE,12.083333333333334,179,81.00558659217877,0,0,2,15,0
A Rose-Innes ,South Africa,1889,1889,2,4,0,14,13,FALSE,3.5,0,NA,0,0,2,0,0
A Sandham ,England,1921,1930,14,23,0,879,325,FALSE,38.21739130434783,0,NA,2,3,3,0,0
A Sanford ,West Indies,2002,2004,11,17,2,72,18,TRUE,4.8,0,NA,0,0,2,0,0
A Sarma ,GER,2019,2021,5,4,0,66,28,FALSE,16.5,77,85.71428571428571,0,0,0,4,1
A Sathya ,Mex,2019,2019,3,3,0,61,30,FALSE,20.333333333333332,61,100,0,0,0,3,2
A Sathyan ,CRT,2024,2024,2,2,1,10,10,FALSE,10,15,66.66666666666666,0,0,0,1,0
A Saud,NEP,2022,2024,11,0,0,0,NA,FALSE,NA,0,NA,0,0,0,0,0
A Saud ,NEP,2022,2022,3,3,0,70,35,FALSE,23.333333333333332,63,111.11111111111111,0,0,0,7,4
A Sawyer ,GIBR,2023,2024,3,0,0,0,NA,FALSE,NA,0,NA,0,0,0,0,0
