Player,Country,Start,End,Matches,Innings,Dismissals,Caught,CaughtFielder,CaughtBehind,Stumped,MaxDismissalsInnings
G Nikitas,GRC,2019,2019,2,2,2,0,0,0,2,2
G Noblet,Australia,1950,1953,3,6,1,1,1,0,0,1
G Oliveira,BRA,2024,2024,1,1,0,0,0,0,0,0
G Onions,England,2009,2012,13,20,1,1,1,0,0,1
G Pullar,England,1959,1963,28,50,2,2,2,0,0,1
G Raymond,COK,2022,2022,2,2,0,0,0,0,0,0
G Richardson,JER,2024,2024,1,1,0,0,0,0,0,0
G Riley,GMB,2022,2024,3,3,0,0,0,0,0,0
G Salmond,Scotland,1999,1999,5,5,1,1,1,0,0,1
G Schachat,ISR,2022,2022,3,3,1,1,1,0,0,1
G Sesay,Sri LankaE,2021,2024,34,34,9,9,9,0,0,2
G Sharma,India,1985,1990,16,20,4,4,4,0,0,1
G Singh,United States of America,2021,2024,45,45,19,19,19,0,0,3
G Singhdeo,CRC,2024,2024,5,5,3,3,0,3,0,2
G Smith,CAY,2022,2022,3,3,0,0,0,0,0,0
G Snyman,Namibia,2003,2003,5,5,0,0,0,0,0,0
G Stewart,ITA,2021,2023,14,14,5,5,5,0,0,2
G Thakur,MLT,2023,2024,13,13,2,2,2,0,0,1
G Thomas,Australia,1965,1966,8,15,3,3,3,0,0,1
G Thornton,South Africa,1902,1902,1,2,1,1,1,0,0,1
G Toka,Papau New Guinea,2019,2023,22,22,7,7,7,0,0,2
G Ulyett,England,1877,1890,25,47,19,19,19,0,0,3
G Venkateswaran,LUX,2019,2023,17,17,3,3,3,0,0,1
G Wijekoon,Sri Lanka,2005,2007,5,7,0,0,0,0,0,0
Ga Bartlett,New Zealand,1961,1968,10,18,8,8,8,0,0,1
Ga Bishop,Australia,1987,1987,2,2,1,1,1,0,0,1
Ga Briant,Zimbabwe,1993,1993,6,6,0,0,0,0,0,0
Ga Chevalier,South Africa,1970,1970,1,2,1,1,1,0,0,1
Ga Cope,England,1977,1978,5,7,1,1,1,0,0,1
Ga Faulkner,South Africa,1906,1924,25,44,20,20,20,0,0,3
Ga Gooch,England,1975,1995,243,336,148,148,148,0,0,3
Ga Greenidge,West Indies,1972,1973,5,9,3,3,3,0,0,1
